##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Autauga, AL	1149	0	112	28	8	47870
Baldwin, AL	1973	5	137	37	11.3	162564
Barbour, AL	64	0	7	1	7.8	29452
Bibb, AL	144	0	18	3	8.	21375
Blount, AL	558	0	134	6	11.8	55035
Bullock, AL	54	0	0	3	7.9	10975
Butler, AL	463	2	22	15	6.6	20338
Calhoun, AL	2875	5	242	159	6.1	112081
Chambers, AL	267	2	18	8	6.4	35173
Cherokee, AL	24	0	0	1	9.5	24268
Chilton, AL	246	0	24	9	11.9	41510
Choctaw, AL	3	0	1	1	9.2	14507
Clarke, AL	311	0	18	5	7	26740
Clay, AL	103	0	4	1	9.9	13847
Cleburne, AL	167	1	45	6	10.7	14276
Coffee, AL	421	1	55	25	9.7	45159
Colbert, AL	861	2	28	20	7.6	54399
Conecuh, AL	143	0	8	6	7.9	13176
Coosa, AL	91	0	7	6	10.3	10964
Covington, AL	676	0	41	12	7.4	36594
Crenshaw, AL	201	0	15	2	9.1	13541
Cullman, AL	1723	2	192	18	9.5	79382
Dale, AL	631	2	75	23	9	48319
Dallas, AL	69	0	11	7	4.7	43358
DeKalb, AL	230	0	28	1	11.4	66920
Elmore, AL	726	2	43	16	8.2	73241
Escambia, AL	838	2	51	44	6.8	37642
Etowah, AL	2956	6	283	152	8.2	102602
Fayette, AL	134	0	12	1	6.7	18012
Franklin, AL	290	2	49	8	10.8	30673
Geneva, AL	333	1	46	3	9.9	25584
Greene, AL	54	0	11	1	6.9	9472
Hale, AL	128	1	19	7	6.9	17921
Henry, AL	191	0	21	2	10.7	16424
Houston, AL	2969	8	199	160	7	93614
Jackson, AL	1373	3	133	19	7.9	52923
Jefferson, AL	20622	120	3164	1991	6.6	659715
Lamar, AL	41	0	5	0	8.6	14707
Lauderdale, AL	1516	5	64	71	6.7	87437
Lawrence, AL	270	1	31	3	8.5	34293
Lee, AL	3746	6	238	112	8.6	125350
Limestone, AL	76	0	8	4	9.4	69792
Lowndes, AL	36	1	15	16	7.5	12898
Macon, AL	30	0	0	2	5.8	22736
Madison, AL	9608	26	1289	551	10	300272
Marengo, AL	426	2	26	8	7.6	21405
Marion, AL	502	0	31	1	8.7	29493
Marshall, AL	1057	2	74	14	10.2	85298
Mobile, AL	11979	50	1552	703	6.2	398369
Monroe, AL	334	1	61	5	7.5	23169
Montgomery, AL	8452	29	1021	847	5.1	222220
Morgan, AL	3481	1	248	69	8.2	112951
Perry, AL	287	0	28	6	6.5	10787
Pickens, AL	158	2	15	16	10	19834
Pike, AL	1090	0	33	28	6.9	29685
Randolph, AL	183	0	13	4	9.7	22472
Russell, AL	0	0	0	0	6.6	49094
St. Clair, AL	1145	1	96	19	8.8	72004
Shelby, AL	1602	2	137	50	9.1	171678
Sumter, AL	169	0	9	13	7.2	13640
Talladega, AL	1024	0	65	21	6.2	79902
Tallapoosa, AL	1049	1	61	34	7.1	40445
Tuscaloosa, AL	3947	7	267	202	6.3	172060
Walker, AL	1252	2	127	24	7	69124
Washington, AL	39	1	3	1	10	17410
Wilcox, AL	64	1	5	5	7.6	12642
Winston, AL	16	0	1	0	7.9	24236
##ALASKA	16840	32	2560	533	10.7	669488
Aleutians East, AK	0	0	0	0	12.5	2637
Aleutians West, AK	43	0	4	0	10.8	5422
Anchorage, AK	8453	16	1358	386	9.8	276863
Bethel, AK	49	1	45	4	5.8	16997
Bristol Bay, AK	28	0	12	1	12.5	1104
Denali, AK	0	0	0	0	14.3	1835
Dillingham, AK	55	0	10	0	9	4938
Fairbanks North Star, AK	1326	2	230	65	11.5	94451
Haines, AK	42	0	3	0	15.1	2232
Hoonah-Angoon, AK	15	0	1	0	14.7	2270
Juneau, AK	1124	0	47	14	11.9	30872
Kenai Peninsula, AK	819	1	55	2	15.7	51527
Ketchikan Gateway, AK	445	1	33	2	9.7	13150
Kodiak Island, AK	238	0	17	0	13	13050
Lake and Peninsula, AK	0	0	0	0	12.2	1557
Matanuska-Susitna, AK	712	0	65	11	12.2	74988
